Request Date,Cumulative Date Start,Pages Printed in Last 24 Hours,Total Pages Printed Since Cumulative Date,Total Users,Average Pages Printed Per User,Total Pages to Date
"July 04, 2019 ",06/22/2019,4919,46228,50333,0.92,18984330
"June 27, 2019 ",06/22/2019,6140,8,50291,0.45,18960710
"June 02, 2019 ",04/01/2019,9,75706,50136,15.07,18732536
"June 21, 2019 ",04/01/2019,184,6258,50260,19.11,18938056
"May 10, 2019 ",04/01/2019,14958,5155,49900,10.31,18490991
"May 02, 2019 ",04/01/2019,21319,8117,49796,8.19,18383589
"April 11, 2019 ",04/01/2019,18567,3528,49474,2.74,18110761
"November 02, 2018 ",09/26/2018,14566,53855,47067,11.45,16501706
"November 06, 2018 ",09/26/2018,23264,573084,47167,12.16,16536234
"January 14, 2019 ",01/06/2019,1346,584,48177,1.98,17113141
"September 21, 2018 ",06/23/2018,259,94,43788,7.57,15957294
"November 18, 2018 ",09/26/2018,0,7,47473,14.76,16664068
"March 21, 2019 ",01/06/2019,17976,3,49324,20.12,17952882
"April 05, 2018 ",04/01/2018,20721,675,42199,1.6,14646273
"March 22, 2019 ",01/06/2019,13600,448,49333,20.39,17966482
"April 18, 2018 ",04/01/2018,21281,35665,42380,5.55,14814416
"March 03, 2019 ",01/06/2019,0,864,49041,14.08,17650315
"March 26, 2019 ",01/06/2019,206,5198,49334,20.53,17973646
"October 10, 2018 ",09/26/2018,23310,5,45496,4.24,16154255
"May 12, 2018 ",04/01/2018,9508,579,42699,13.54,15157799
"May 20, 2019 ",04/01/2019,510,6076,49985,12.13,18583086
"December 13, 2017 ",09/24/2017,1449,3,40797,23.82,13527606
"July 18, 2019 ",06/22/2019,4181,8,50385,1.77,19027301
"July 22, 2018 ",06/23/2018,0,5,43183,2.29,15724205
"November 07, 2017 ",09/24/2017,23215,58,40089,14.48,13135909
"February 18, 2018 ",01/08/2018,0,539729,41683,12.91,14078216
"April 15, 2019 ",04/01/2019,1542,58695,49502,3.21,18134167
"September 25, 2017 ",09/24/2017,0,,36779,0,12553705
"September 25, 2017 ",06/24/2017,0,325635,36779,0,12553705
"September 25, 2017 ",06/24/2017,0,325635,36778,8.83,12553705
"June 01, 2019 ",04/01/2019,10221,757055,50134,15.07,18732527
"October 09, 2017 ",09/24/2017,1247,5513,38270,3.79,12699218
"August 11, 2018 ",06/23/2018,1795,925,43385,4.41,15816783
"June 23, 2018 ",04/01/2018,15,5449,43025,24.24,15624200
"July 09, 2019 ",06/22/2019,6505,54074,50343,1.07,18992176
"November 26, 2017 ",09/24/2017,0,6598,40475,18.88,13319689
"September 27, 2017 ",09/24/2017,737,3,36787,0.02,12554442
"November 18, 2017 ",09/24/2017,8917,8,40400,17.98,13281854
"December 20, 2018 ",09/26/2018,7,53914,48053,21.91,17017064
"July 01, 2019 ",06/22/2019,321,478,50307,0.59,18967580
"April 12, 2018 ",04/01/2018,18541,6207,42299,3.83,14740829
"June 30, 2018 ",06/23/2018,1815,9,43083,0.72,15656182
"March 31, 2019 ",01/06/2019,0,5237,49334,20.54,17974042
"November 17, 2018 ",09/26/2018,9103,7,47473,14.76,16664068
"January 16, 2018 ",01/08/2018,605,526,40850,0.62,13563748
"March 18, 2019 ",01/06/2019,6281,86964,49276,18.89,17891315
"October 15, 2018 ",09/26/2018,669,47,45836,5.44,16211018
"May 17, 2018 ",04/01/2018,21634,6415,42749,14.97,15220275
"October 01, 2017 ",09/24/2017,0,366,37309,0.98,12590375
"June 18, 2019 ",04/01/2019,40,6227,50260,19.11,18937751
"February 25, 2018 ",01/08/2018,0,61644,41770,14.72,14154935
"October 11, 2018 ",09/26/2018,21963,3,45629,4.71,16176218
"September 29, 2017 ",09/24/2017,19169,8,37179,0.57,12575113
"January 04, 2019 ",09/26/2018,37,54,48053,21.91,17017266
